"Language";"Intended use";"Imperative";"Object-oriented";"Functional";"Procedural";"Generic";"Reflective";"Event-driven";"Other paradigm(s)";"Standardized?"
"1";"1C:Enterprise";"Application, RAD,  business, general, web, mobile";"Yes";"";"Yes";"Yes";"Yes";"Yes";"Yes";"Object-based,
Prototype-based programming";"No"
"2";"ActionScript 3.0";"Application, client-side, web";"Yes";"Yes";"Yes";"";"";"";"Yes";"";"1996, ECMA"
"3";"Ada";"Application, embedded, realtime, system";"Yes";"Yes[2]";"";"Yes[3]";"Yes[4]";"";"";"concurrent,[5]distributed,[6]";"1983, 2005, 2012, ANSI, ISO, GOST 27831-88[7]"
"4";"Aldor";"Highly domain-specific, symbolic computing";"Yes";"Yes";"Yes";"";"";"";"";"";"No"
"5";"ALGOL 58";"Application";"Yes";"";"";"";"";"";"";"";"No"
"6";"ALGOL 60";"Application";"Yes";"";"";"Yes";"Yes";"";"";"";"1960, IFIP WG 2.1, ISO[8]"
"7";"ALGOL 68";"Application";"Yes";"";"Yes";"Yes";"Yes";"";"";"concurrent";"1968, IFIP WG 2.1, GOST 27974-88,[9]"
"8";"Ateji PX";"Parallel application";"";"Yes";"";"";"";"";"";"pi calculus";"No"
"9";"APL";"Application, data processing";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"array-oriented, tacit";"1989, ISO"
"10";"Assembly language";"General";"Yes";"";"";"";"";"";"";"any, syntax is usually highly specific, related to the target processor";"IEEE 694-1985[10]"
"11";"AutoHotkey";"GUI automation (macros), highly domain-specific";"Yes";"Yes[11]";"";"Yes";"";"";"Yes";"";"No"
"12";"AutoIt";"GUI automation (macros), highly domain-specific";"Yes";"";"";"Yes";"";"";"Yes";"";"No"
"13";"Ballerina";"Integration, agile, server-side, general";"Yes";"Yes";"Yes";"Yes";"";"";"Yes";"concurrent, transactional, statically and strongly typed programming, diagrammatic / visual programming";"2018 De facto standard via Ballerina Language Specification[12]"
"14";"Bash";"Shell, scripting";"Yes";"";"";"Yes";"";"";"";"";"No, but optionally POSIX.2 [13]"
"15";"BASIC";"Application, education";"Yes";"";"";"Yes";"";"";"";"";"1983, ANSI, ISO, ECMA"
"16";"BeanShell";"Application, scripting";"Yes";"Yes";"Yes";"";"";"Yes";"";"";"In progress, JCP[14]"
"17";"BLISS";"System";"";"";"";"Yes";"";"";"";"";"No"
"18";"BlitzMax";"Application, game";"Yes";"Yes";"";"Yes";"";"Yes";"";"";"No"
"19";"Boo";"Application, game scripting";"";"Yes";"";"";"";"";"";"";"No"
"20";"Bro";"domain-specific, application";"Yes";"";"";"";"";"";"Yes";"";"No"
"21";"C";"Application, system,[15] general purpose, low-level operations";"Yes";"";"";"Yes";"Yes";"";"";"";"1989, ANSI C89, ISO C90, ISO C99, ISO C11, ISO C18[16]"
"22";"C++";"Application, system";"Yes";"Yes";"Yes";"Yes";"Yes";"";"";"";"1998. ISO/IEC 2003, ISO/IEC 2011,ISO/IEC 2014,ISO/IEC 2017[17]"
"23";"C#";"Application, RAD, business, client-side, general, server-side, web";"Yes";"Yes";"Yes[18]";"Yes";"Yes";"Yes";"Yes";"structured, concurrent";"2000, ECMA, ISO[19]"
"24";"Clarion";"General, business, web";"Yes";"Yes";"Yes[20]";"";"";"";"";"";"Un­known"
